carimbo,pol_comf,conspol_prof_nota,conspol_prof_ofens,conspol_prof_errad,conspol_col_ofens,conspol_redes,conspol_cod_cond,conspol_vidsoci,conspol_vidprofi,conspol_outro,rac_comf,consrac_prof_nota,consrac_prof_ofens,consrac_prof_errad,consrac_col_ofens,consrac_redes,consrac_cod_cond,consrac_vidsoci,consrac_vidprofi,consrac_outro,sex_comf,conssex_prof_nota,conssex_prof_ofens,conssex_prof_errad,conssex_col_ofens,conssex_redes,conssex_cod_cond,conssex_vidsoci,conssex_vidprofi,conssex_outro,gen_comf,consgen_prof_nota,consgen_prof_ofens,consgen_prof_errad,consgen_col_ofens,consgen_redes,consgen_cod_cond,consgen_vidsoci,consgen_vidprofi,consgen_outro,rel_comf,consrel_prof_nota,consrel_prof_ofens,consrel_prof_errad,consrel_col_ofens,consrel_redes,consrel_cod_cond,consrel_vidsoci,consrel_vidprofi,consrel_outro,adm_comf,consadm_prof_nota,consadm_prof_ofens,consadm_prof_errad,consadm_col_ofens,consadm_redes,consadm_cod_cond,consadm_vidsoci,consadm_vidprofi,consadm_outro,mat_comf,consmat_prof_nota,consmat_prof_ofens,consmat_prof_errad,consmat_col_ofens,consmat_redes,consmat_cod_cond,consmat_vidsoci,consmat_vidprofi,consmat_outro,percepfem,percepmasc,percepesq,percepdir,percepbran,perceppre,percepasi,percepric,perceppob,percephomo,percephet,perceptran,perceprel,percepate,percepoutro,tratgen,tratrac,tratpol,tratrel,tratsex,tratclas,compalunos,compprofs,compadm,incentidivers,idade,nivel,academic,area,sexo,trasn,orisex,class,raca,rel,denom_pol,espectro_econ,espectro_cult,uf,cidade
2021/11/09 5:20:07 PM GMT-5,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Muito preocupado,Nem um pouco preocupado,Um pouco preocupado,,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Muito preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Tão confortáveis quanto o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Maioria tem posições próximas à minha,Maioria à direita,Maioria à direita,2. Raramente,21.0,Superior - meio da graduação,Não,Engenharias,Masculino,Não,Heterosexual,"De dois a quatro salários mínimos (R$  2.200,01 a R$ 4.400,00).",Branco / Caucasiano,Não penso muito sobre isso,Liberal,Centro-Direita,Centro-Direita,PR,Londrina
2021/11/09 5:20:58 PM GMT-5,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Muito preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Nem um pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,,Relutante,Muito preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Nem um pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,,Confortável,,,,,,,,,,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Não sei responder,Não sei responder,Não sei responder,1. Nunca,20.0,Superior - meio da graduação,Não sei,Engenharias,Masculino,Não,Heterosexual,Não sei.,Branco / Caucasiano,Cristão: Católico,Não penso muito sobre isso,Apolítico / Não penso muito sobre isso,Apolítico / Não penso muito sobre isso,PR,Londrina
2021/11/09 5:23:52 PM GMT-5,Relutante,Moderadamente preocupado,Um pouco preocupado,Um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Confortável,,,,,,,,,,Relutante,Muito preocupado,Moderadamente preocupado,Moderadamente preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Confortável,,,,,,,,,,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Mais confortáveis que o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Tão confortáveis quanto o aluno médio,Menos confortáveis que o aluno médio,Tão confortáveis quanto o aluno médio,Menos confortáveis que o aluno médio,,Nunca,Poucas vezes por ano,Mais de uma vez por semana,"Uma vez por ano, ou menos",Nunca,Mais ou menos uma vez por mês,Maioria à esquerda,Não sei responder,Maioria tem posições próximas à minha,3. Ocasionalmente,21.0,Superior - início da graduação (primeiros dois semestres),Não sei,Ciências Exatas e da Terra,Masculino,Não,Heterosexual,"De dois a quatro salários mínimos (R$  2.200,01 a R$ 4.400,00).",Amarelo / Oriental,Não penso muito sobre isso,Libertário/a,Ultradireita,Centro-Direita,PR,Londrina
2021/11/09 5:24:31 PM GMT-5,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Tão confortáveis quanto o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Tão confortáveis quanto o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Maioria à direita,Maioria à direita,Maioria à direita,2. Raramente,19.0,Superior - meio da graduação,Não sei,Ciências Exatas e da Terra,Feminino,Não,Homosexual,"De dois a quatro salários mínimos (R$  2.200,01 a R$ 4.400,00).",Branco / Caucasiano,Ateísta,Progressista,Centro-Esquerda,Esquerda,PR,Sertanópolis
2021/11/09 5:31:19 PM GMT-5,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Muito preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Muito preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Moderadamente preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Não sei responder,Não sei responder,Não sei responder,2. Raramente,19.0,Superior - meio da graduação,Não sei,Prefiro não responder,Masculino,Não,Não sei,Prefiro não responder.,Não sei,Não penso muito sobre isso,Liberal,Prefiro não responder,Prefiro não responder,PR,Londrina
2021/11/09 5:33:41 PM GMT-5,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Muito preocupado,Muito preocupado,Minha preocupação não é com os professores e sim com a alta gestão (coordenação do curso e reitoria),Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Muito preocupado,Muito preocupado,Moderadamente preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Volto a dizer que o grande problema vem da alta gestão (coordenação do curso e reitoria),Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Coordenação e reitoria ,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Alunos PCD ,Poucas vezes por ano,Poucas vezes por ano,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Mais ou menos uma vez por mês,Maioria à direita,Maioria à direita,Maioria à direita,1. Nunca,21.0,Superior - meio da graduação,Não sei,Ciências Sociais Aplicadas,Feminino,Não,Bisexual,"Menos de dois salários mínimos (Até R$ 2.200,00).",Branco / Caucasiano,Espírita,Socialista,Esquerda,Esquerda,PR,Londrina
2021/11/09 5:43:06 PM GMT-5,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Muito preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Não sei responder,Tão confortáveis quanto o aluno médio,Menos confortáveis que o aluno médio,Não sei responder,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Não sei responder,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,,Nunca,Nunca,Nunca,Nunca,Nunca,Poucas vezes por ano,Maioria tem posições próximas à minha,Não sei responder,Não sei responder,4. Frequentemente,21.0,Superior - meio da graduação,Não sei,Ciências Exatas e da Terra,Masculino,Não,Heterosexual,"De dois a quatro salários mínimos (R$  2.200,01 a R$ 4.400,00).",Pardo / Mestiço,Cristão: outra denominação,Prefiro não responder,Prefiro não responder,Esquerda,PR,Londrina
2021/11/09 5:50:51 PM GMT-5,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Confortável,,,,,,,,,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Relutante,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,Nem um pouco preocupado,,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,Tão confortáveis quanto o aluno médio,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Maioria à esquerda,Não sei responder,Não sei responder,4. Frequentemente,20.0,Superior - meio da graduação,Sim,Ciências Exatas e da Terra,Masculino,Não,Heterosexual,"Menos de dois salários mínimos (Até R$ 2.200,00).",Branco / Caucasiano,Cristão: Protestante,Conservador,Direita,Direita,PR,Ibiporã
2021/11/09 5:51:38 PM GMT-5,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,no faço ideia,Nunca,"Uma vez por ano, ou menos",Nunca,Poucas vezes por ano,Nunca,"Uma vez por ano, ou menos",Não sei responder,Não sei responder,Não sei responder,4. Frequentemente,18.0,Superior - início da graduação (primeiros dois semestres),Sim,Ciências Exatas e da Terra,Masculino,Não,Heterosexual,"De quatro a dez salários mínimos (R$ 4.400,01 a R$ 11.000,00).",Amarelo / Oriental,Não penso muito sobre isso,Progressista,Apolítico / Não penso muito sobre isso,Apolítico / Não penso muito sobre isso,PR,Londrina
2021/11/09 5:56:28 PM GMT-5,Confortável,,,,,,,,,,Relutante,Muito preocupado,Muito preocupado,Um pouco preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Confortável,,,,,,,,,,Relutante,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,,Relutante,Muito preocupado,Um pouco preocupado,Muito preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Moderadamente preocupado,Muito preocupado,,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Menos confortáveis que o aluno médio,Mais confortáveis que o aluno médio,Mais confortáveis que o aluno médio,,Nunca,Poucas vezes por ano,Nunca,Nunca,Nunca,Nunca,Maioria à direita,Maioria à direita,Maioria à direita,3. Ocasionalmente,19.0,Prefiro não responder,Não,Ciências Exatas e da Terra,Masculino,Não,Heterosexual,Prefiro não responder.,Preto / Negro,Cristão: Protestante,Conservador,Direita,Direita,PR,Londrina
